date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,695.0,710.0,675.0,705.0,10.0,178500.0,124644500.0,51.0
2020-10-08T00:00:00,705.0,710.0,685.0,710.0,5.0,291000.0,204452000.0,63.0
2020-10-09T00:00:00,710.0,750.0,695.0,720.0,10.0,121500.0,85962500.0,68.0
2020-10-12T00:00:00,720.0,780.0,700.0,730.0,10.0,371100.0,267731000.0,112.0
2020-10-13T00:00:00,730.0,750.0,715.0,725.0,-5.0,171200.0,124290500.0,98.0
2020-10-14T00:00:00,725.0,725.0,680.0,695.0,-30.0,481300.0,335467500.0,102.0
2020-10-15T00:00:00,695.0,695.0,655.0,680.0,-15.0,280700.0,190192500.0,81.0
2020-10-16T00:00:00,680.0,695.0,645.0,665.0,-15.0,153700.0,101851500.0,43.0
2020-10-19T00:00:00,665.0,705.0,675.0,690.0,25.0,123000.0,83962000.0,42.0
2020-10-20T00:00:00,690.0,700.0,680.0,690.0,0.0,251600.0,172627500.0,45.0
2020-10-21T00:00:00,690.0,700.0,675.0,700.0,10.0,217200.0,149787000.0,56.0
2020-10-22T00:00:00,700.0,715.0,690.0,715.0,15.0,135700.0,95503000.0,44.0
2020-10-23T00:00:00,715.0,720.0,700.0,720.0,5.0,413000.0,296289500.0,79.0
2020-10-26T00:00:00,720.0,740.0,705.0,730.0,10.0,139900.0,101041000.0,49.0
2020-10-27T00:00:00,730.0,750.0,730.0,750.0,20.0,346600.0,257122000.0,73.0
2020-11-02T00:00:00,750.0,750.0,735.0,735.0,-15.0,165700.0,122509000.0,45.0
2020-11-03T00:00:00,735.0,800.0,735.0,740.0,5.0,236500.0,178925000.0,45.0
2020-11-04T00:00:00,740.0,770.0,730.0,740.0,0.0,109300.0,81324000.0,46.0
2020-11-05T00:00:00,740.0,800.0,735.0,760.0,20.0,203600.0,153956500.0,51.0
2020-11-06T00:00:00,760.0,780.0,740.0,760.0,0.0,330100.0,250059500.0,45.0
2020-11-09T00:00:00,760.0,775.0,750.0,755.0,-5.0,92300.0,69366000.0,37.0
2020-11-10T00:00:00,755.0,775.0,740.0,760.0,5.0,95100.0,71897000.0,37.0
2020-11-11T00:00:00,760.0,770.0,740.0,760.0,0.0,174900.0,131752000.0,59.0
2020-11-12T00:00:00,760.0,775.0,745.0,750.0,-10.0,192800.0,145046500.0,37.0
2020-11-13T00:00:00,750.0,765.0,745.0,760.0,10.0,73800.0,55512000.0,37.0
2020-11-16T00:00:00,760.0,775.0,750.0,775.0,15.0,158600.0,121632500.0,67.0
2020-11-17T00:00:00,775.0,770.0,750.0,760.0,-15.0,399500.0,302248500.0,49.0
2020-11-18T00:00:00,760.0,760.0,750.0,760.0,0.0,49400.0,37262000.0,21.0
2020-11-19T00:00:00,760.0,770.0,750.0,770.0,10.0,31500.0,24025000.0,20.0
2020-11-20T00:00:00,770.0,780.0,755.0,770.0,0.0,43800.0,33600500.0,24.0
2020-11-23T00:00:00,770.0,760.0,755.0,755.0,-15.0,47300.0,35898000.0,24.0
2020-11-24T00:00:00,755.0,760.0,755.0,755.0,0.0,18400.0,13896500.0,15.0
2020-11-25T00:00:00,755.0,780.0,745.0,760.0,5.0,96300.0,72760000.0,20.0
2020-11-26T00:00:00,760.0,760.0,750.0,760.0,0.0,74100.0,55975500.0,14.0
2020-11-27T00:00:00,760.0,760.0,745.0,760.0,0.0,124300.0,93761000.0,22.0
2020-11-30T00:00:00,760.0,775.0,730.0,775.0,15.0,165200.0,124536000.0,48.0
2020-12-01T00:00:00,775.0,780.0,740.0,780.0,5.0,248400.0,192220500.0,39.0
2020-12-02T00:00:00,780.0,780.0,770.0,780.0,0.0,83100.0,64554500.0,28.0
2020-12-03T00:00:00,780.0,780.0,755.0,755.0,-25.0,217100.0,166952500.0,50.0
2020-12-04T00:00:00,755.0,775.0,755.0,775.0,20.0,96000.0,73241500.0,34.0
2020-12-07T00:00:00,775.0,820.0,775.0,810.0,35.0,545000.0,440655000.0,152.0
2020-12-08T00:00:00,800.0,810.0,770.0,810.0,10.0,217800.0,172547000.0,79.0
2020-12-10T00:00:00,810.0,810.0,790.0,790.0,-20.0,44700.0,35417500.0,35.0
2020-12-11T00:00:00,790.0,835.0,790.0,815.0,25.0,81300.0,65632000.0,57.0
2020-12-14T00:00:00,815.0,890.0,805.0,805.0,-10.0,57800.0,47726500.0,48.0
2020-12-15T00:00:00,805.0,885.0,750.0,800.0,-5.0,358600.0,287105000.0,85.0
2020-12-16T00:00:00,800.0,800.0,750.0,780.0,-20.0,304600.0,235601500.0,90.0
2020-12-17T00:00:00,780.0,800.0,760.0,795.0,15.0,133100.0,103764000.0,81.0
2020-12-18T00:00:00,795.0,800.0,780.0,795.0,0.0,83900.0,66754000.0,32.0
2020-12-21T00:00:00,795.0,850.0,780.0,795.0,0.0,126800.0,104009000.0,32.0
2020-12-22T00:00:00,795.0,810.0,775.0,790.0,-5.0,139800.0,110295500.0,35.0
2020-12-23T00:00:00,790.0,800.0,780.0,800.0,10.0,172400.0,136695500.0,31.0
2020-12-28T00:00:00,800.0,820.0,800.0,800.0,0.0,39800.0,31966000.0,37.0
