date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,805.0,825.0,800.0,800.0,-5.0,15573200.0,12618984000.0,1009.0
2020-10-09T00:00:00,800.0,815.0,795.0,800.0,0.0,7918500.0,6378517000.0,547.0
2020-10-12T00:00:00,800.0,815.0,780.0,800.0,0.0,17118600.0,13699296000.0,843.0
2020-10-13T00:00:00,800.0,810.0,785.0,805.0,5.0,13356800.0,10635174000.0,766.0
2020-10-14T00:00:00,805.0,810.0,795.0,800.0,-5.0,9187800.0,7369543500.0,529.0
2020-10-15T00:00:00,800.0,825.0,800.0,815.0,15.0,13815700.0,11250321000.0,1024.0
2020-10-16T00:00:00,815.0,865.0,815.0,860.0,45.0,42870600.0,36373622500.0,3190.0
2020-10-19T00:00:00,860.0,880.0,835.0,860.0,0.0,20898400.0,17883645000.0,1876.0
2020-10-20T00:00:00,860.0,860.0,835.0,850.0,-10.0,12554300.0,10649913000.0,747.0
2020-10-21T00:00:00,850.0,860.0,840.0,845.0,-5.0,8877200.0,7554447000.0,580.0
2020-10-22T00:00:00,845.0,855.0,840.0,850.0,5.0,8597000.0,7263703500.0,523.0
2020-10-23T00:00:00,850.0,890.0,850.0,880.0,30.0,22060800.0,19186753500.0,1370.0
2020-10-26T00:00:00,880.0,885.0,845.0,845.0,-35.0,15159500.0,13100149000.0,1023.0
2020-10-27T00:00:00,845.0,850.0,820.0,850.0,5.0,10378200.0,8652093000.0,1115.0
2020-11-02T00:00:00,850.0,865.0,825.0,845.0,-5.0,11073600.0,9369791500.0,999.0
2020-11-03T00:00:00,845.0,865.0,845.0,855.0,10.0,10498800.0,8976735500.0,567.0
2020-11-04T00:00:00,855.0,865.0,830.0,835.0,-20.0,10563300.0,8948204000.0,639.0
2020-11-05T00:00:00,835.0,855.0,835.0,845.0,10.0,9356700.0,7949093500.0,498.0
2020-11-06T00:00:00,845.0,860.0,840.0,840.0,-5.0,8563800.0,7274588500.0,522.0
