code,name,listing_date,shares,listing_board
BALI,Bali Towerindo Sentra Tbk.,2014-03-13T00:00:00,3934592500,Utama
BANK,Bank Aladin Syariah Tbk.,2021-02-01T00:00:00,13134309398,Pengembangan
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14T00:00:00,661784520,Utama
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16T00:00:00,5591752986,Pengembangan
BATA,Sepatu Bata Tbk.,1982-03-24T00:00:00,1300000000,Utama
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28T00:00:00,4800000000,Pengembangan
BAYU,Bayu Buana Tbk,1989-10-30T00:00:00,353220780,PENGEMBANGAN
BBCA,Bank Central Asia Tbk.,2000-05-31T00:00:00,122042299500,Utama
BBHI,Allo Bank Indonesia Tbk.,2015-08-12T00:00:00,21512953877,Pengembangan
BBKP,Bank KB Bukopin Tbk.,2006-07-10T00:00:00,67019885160,Utama
BBLD,Buana Finance Tbk.,1990-05-07T00:00:00,1645796054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,2013-07-08T00:00:00,4049189100,Utama
BBNI,Bank Negara Indonesia (Persero,1996-11-25T00:00:00,18462169893,Utama
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10T00:00:00,150043411587,Utama
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09T00:00:00,8479490328,Utama
BBSI,Bank Bisnis Internasional Tbk.,2020-09-07T00:00:00,3274178463,Pengembangan
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15T00:00:00,4800016020,Pengembangan
BBTN,Bank Tabungan Negara (Persero),2009-12-17T00:00:00,10484100000,Utama
BBYB,Bank Neo Commerce Tbk.,2015-01-13T00:00:00,9327465018,Utama
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08T00:00:00,42618850927,Utama
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25T00:00:00,13996806290,Pengembangan
BCIP,Bumi Citra Permai Tbk.,2009-12-11T00:00:00,1429915525,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06T00:00:00,9675817341,Utama
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10T00:00:00,9000000000,Pengembangan
BEEF,Estika Tata Tiara Tbk.,2019-01-10T00:00:00,1884312595,Pengembangan
BEKS,Bank Pembangunan Daerah Banten,2001-07-13T00:00:00,51351733883,Pengembangan
BELL,Trisula Textile Industries Tbk,2017-10-03T00:00:00,7250000000,Pengembangan
BESS,Batulicin Nusantara Maritim Tb,2020-03-09T00:00:00,3412610636,Pengembangan
BEST,Bekasi Fajar Industrial Estate,2012-04-10T00:00:00,9647311150,Utama
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16T00:00:00,15967115620,Utama
BGTG,Bank Ganesha Tbk.,2016-05-12T00:00:00,16303371203,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,2020-04-15T00:00:00,5000000000,Pengembangan
BHIT,MNC Investama Tbk.,1997-11-24T00:00:00,86068156705,Utama
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14T00:00:00,592280000,Pengembangan
BIKE,Sepeda Bersama Indonesia Tbk.,2022-03-21T00:00:00,1293334000,Pengembangan
BIMA,Primarindo Asia Infrastructure,1994-08-30T00:00:00,608175716,Pengembangan
BINA,Bank Ina Perdana Tbk.,2014-01-16T00:00:00,5877722813,Utama
BINO,Perma Plasindo Tbk.,2021-11-25T00:00:00,2175000000,Pengembangan
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11T00:00:00,44693066193,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23T00:00:00,5028669366,Pengembangan
BIRD,Blue Bird Tbk.,2014-11-05T00:00:00,2502100000,UTAMA
